forest,plot,pest,severity,date
Boi Preto XI,B11-041,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-042,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-043,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-044,Formiga,LOW,2024-10-01
Boi Preto XI,B11-045,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-046,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-047,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-048,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-049,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-050,Formiga,LOW,2024-10-01
Boi Preto XI,B11-051,Formiga,MEDIUM,2024-10-01
Boi Preto XI,B11-052,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-053,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-054,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-055,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-056,Formiga,HIGH,2024-10-01
Boi Preto XI,B11-057,Formiga,HIGH,2024-10-01
Gema,GMA-001,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-001B,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-002,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-003,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-004,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-004A,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-004B,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-005,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-006,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-007,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-008,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-009,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-009A,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-010,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-011,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-011A,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-012,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-013,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-014,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-015,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-016,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-017,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-018,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-019,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-020,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-021,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-021A,Lagarta Desfolhadora,LOW,2024-07-01
Gema,GMA-022,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-022A,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-023,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-024,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-024A,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-025,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-025A,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-026,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-027,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-028,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-028A,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-029,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-030,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-030A,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-031,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-032,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-033A,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-033B,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-034,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-035,Lagarta Desfolhadora,HIGH,2024-07-01
Gema,GMA-036,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-037,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-038,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-039,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-039A,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-040,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-041,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-042,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-043,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-044,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-045,Lagarta Desfolhadora,MEDIUM,2024-07-01
Gema,GMA-026,Lagarta Desfolhadora,LOW,2024-07-05
Gema,GMA-026,Lagarta Desfolhadora,LOW,2024-07-10
Gema,GMA-026,Lagarta Desfolhadora,LOW,2024-08-16
Gema,GMA-026,Lagarta Desfolhadora,LOW,2024-11-14
Gema,GMA-027,Lagarta Desfolhadora,LOW,2024-07-06
Gema,GMA-027,Lagarta Desfolhadora,LOW,2024-07-11
Gema,GMA-027,Lagarta Desfolhadora,LOW,2024-08-16
Gema,GMA-027,Lagarta Desfolhadora,LOW,2024-11-14
Gema,GMA-028,Lagarta Desfolhadora,LOW,2024-07-07
Gema,GMA-028,Lagarta Desfolhadora,LOW,2024-07-12
Gema,GMA-028,Lagarta Desfolhadora,LOW,2024-08-16
Gema,GMA-028,Lagarta Desfolhadora,LOW,2024-11-14
Gema,GMA-029,Lagarta Desfolhadora,LOW,2024-07-09
Gema,GMA-029,Lagarta Desfolhadora,LOW,2024-07-14
Gema,GMA-029,Lagarta Desfolhadora,LOW,2024-08-16
Gema,GMA-029,Lagarta Desfolhadora,LOW,2024-11-14
Terere,TER-001,Lagarta Desfolhadora,LOW,2024-06-06
Terere,TER-002,Lagarta Desfolhadora,LOW,2024-05-13
Terere,TER-002,Lagarta Desfolhadora,LOW,2024-06-06
Terere,TER-003,Lagarta Desfolhadora,LOW,2024-05-13
Terere,TER-003,Lagarta Desfolhadora,LOW,2024-06-06
Terere,TER-004,Lagarta Desfolhadora,LOW,2024-05-08
Terere,TER-004,Lagarta Desfolhadora,LOW,2024-05-13
Terere,TER-004,Lagarta Desfolhadora,LOW,2024-06-06
Stands_Pisilideo,1,Pisilideo,LOW,2024-08-09
Stands_Pisilideo,2,Pisilideo,LOW,2024-08-09
Stands_Pisilideo,3,Pisilideo,LOW,2024-08-09
Stands_Perervejo Bronzeado,0,Perervejo Bronzeado,LOW,2022-04-29
Stands_Perervejo Bronzeado,1,Perervejo Bronzeado,LOW,2022-04-18
Stands_Perervejo Bronzeado,2,Perervejo Bronzeado,LOW,2022-04-18
Stands_Perervejo Bronzeado,3,Perervejo Bronzeado,LOW,2022-04-03
Stands_Perervejo Bronzeado,4,Perervejo Bronzeado,LOW,2022-04-03
Stands_Perervejo Bronzeado,5,Perervejo Bronzeado,LOW,2022-04-02
Stands_Perervejo Bronzeado,6,Perervejo Bronzeado,LOW,2022-04-02
Stands_Perervejo Bronzeado,7,Perervejo Bronzeado,LOW,2022-03-31
Stands_Perervejo Bronzeado,8,Perervejo Bronzeado,LOW,2022-03-29
Stands_Perervejo Bronzeado,9,Perervejo Bronzeado,LOW,2022-03-27
Stands_Perervejo Bronzeado,10,Perervejo Bronzeado,LOW,2022-03-27
Stands_Perervejo Bronzeado,11,Perervejo Bronzeado,LOW,2022-03-27
Stands_Perervejo Bronzeado,12,Perervejo Bronzeado,LOW,2022-03-26
Stands_Perervejo Bronzeado,13,Perervejo Bronzeado,LOW,2022-03-24
Stands_Perervejo Bronzeado,14,Perervejo Bronzeado,LOW,2022-03-24
Stands_Perervejo Bronzeado,15,Perervejo Bronzeado,LOW,2022-03-22
Stands_Perervejo Bronzeado,16,Perervejo Bronzeado,LOW,2022-03-22
Stands_Perervejo Bronzeado,17,Perervejo Bronzeado,LOW,2022-03-22
Stands_Perervejo Bronzeado,18,Perervejo Bronzeado,LOW,2022-03-22
Stands_Perervejo Bronzeado,19,Perervejo Bronzeado,LOW,2022-03-22
Stands_Perervejo Bronzeado,20,Perervejo Bronzeado,LOW,2022-03-20
Stands_Perervejo Bronzeado,21,Perervejo Bronzeado,LOW,2022-03-19
Stands_Perervejo Bronzeado,22,Perervejo Bronzeado,LOW,2022-03-19
Stands_Perervejo Bronzeado,23,Perervejo Bronzeado,LOW,2022-03-15
Stands_Perervejo Bronzeado,24,Perervejo Bronzeado,LOW,2022-03-13
Stands_Perervejo Bronzeado,25,Perervejo Bronzeado,LOW,2022-02-14
Stands_Perervejo Bronzeado,26,Perervejo Bronzeado,LOW,2022-02-14
Stands_Perervejo Bronzeado,27,Perervejo Bronzeado,LOW,2022-02-14
Stands_Lagarta Desfolhadora,1,Lagarta Desfolhadora,LOW,2024-05-01
Stands_Lagarta Desfolhadora,2,Lagarta Desfolhadora,LOW,2024-05-01
